id,year,crop,season,min_support_price
213,2015-2016,Sesamum,Kharif,4700
214,2015-2016,Nigerseed,Kharif,3650
215,2015-2016,Wheat,Rabi,1525
216,2015-2016,Barley,Rabi,1225
217,2015-2016,Gram,Rabi,3500
218,2015-2016,Masur (Lentil),Rabi,3400
219,2015-2016,Rapeseed/Mustard,Rabi,3350
220,2015-2016,Safflower,Rabi,3300
221,2015-2016,Toria,Rabi,3290
222,2015-2016,Copra - Milling,Others,5550
223,2015-2016,Copra - Ball,Others,5830
224,2015-2016,De-Husked Coconut,Others,1500
225,2015-2016,Jute,Others,2700
226,2015-2016,Sugarcane ,Others,230
227,2014-2015,Paddy - Common,Kharif,1360
228,2014-2015,Paddy - Grade 'A',Kharif,1400
229,2014-2015,Jowar - Hybrid,Kharif,1530
230,2014-2015,Jowar - Maldandi,Kharif,1550
231,2014-2015,Bajra,Kharif,1250
232,2014-2015,Maize,Kharif,1310
233,2014-2015,Ragi,Kharif,1550
234,2014-2015,Arhar(Tur),Kharif,4350
235,2014-2015,"Moong,",Kharif,4600
236,2014-2015,Urad,Kharif,4350
237,2014-2015,Cotton,Kharif,3750
238,2014-2015,Cotton H-4,Kharif,4050
239,2014-2015,Groundnut In Shell,Kharif,4000
240,2014-2015,Sunflower  Seed,Kharif,3750
241,2014-2015,Soyabeen - Black,Kharif,2500
242,2014-2015,Soyabeen - Yellow,Kharif,2560
243,2014-2015,Sesamum,Kharif,4600
244,2014-2015,Nigerseed,Kharif,3600
245,2014-2015,Wheat,Rabi,1450
246,2014-2015,Barley,Rabi,1150
247,2014-2015,Gram,Rabi,3175
248,2014-2015,Masur (Lentil),Rabi,3075
249,2014-2015,Rapeseed/Mustard,Rabi,3100
250,2014-2015,Safflower,Rabi,3050
251,2014-2015,Toria,Rabi,3020
252,2014-2015,Copra - Milling,Others,5250
253,2014-2015,Copra - Ball,Others,5500
254,2014-2015,De-Husked Coconut,Others,1425
255,2014-2015,Jute,Others,2400
256,2014-2015,Sugarcane ,Others,220
257,2013-2014,Paddy - Common,Kharif,1310
258,2013-2014,Paddy - Grade 'A',Kharif,1345
259,2013-2014,Jowar - Hybrid,Kharif,1500
260,2013-2014,Jowar - Maldandi,Kharif,1520
261,2013-2014,Bajra,Kharif,1250
262,2013-2014,Maize,Kharif,1310
263,2013-2014,Ragi,Kharif,1500
264,2013-2014,Arhar(Tur),Kharif,4300
265,2013-2014,"Moong,",Kharif,4500
266,2013-2014,Urad,Kharif,4300
267,2013-2014,Cotton,Kharif,3700
268,2013-2014,Cotton H-4,Kharif,4000
269,2013-2014,Groundnut In Shell,Kharif,4000
270,2013-2014,Sunflower  Seed,Kharif,3700
271,2013-2014,Soyabeen - Black,Kharif,2500
272,2013-2014,Soyabeen - Yellow,Kharif,2560
273,2013-2014,Sesamum,Kharif,4500
274,2013-2014,Nigerseed,Kharif,3500
275,2013-2014,Wheat,Rabi,1400
276,2013-2014,Barley,Rabi,1100
277,2013-2014,Gram,Rabi,3100
278,2013-2014,Masur (Lentil),Rabi,2950
279,2013-2014,Rapeseed/Mustard,Rabi,3050
280,2013-2014,Safflower,Rabi,3000
281,2013-2014,Toria,Rabi,3020
282,2013-2014,Copra - Milling,Others,5250
283,2013-2014,Copra - Ball,Others,5500
284,2013-2014,De-Husked Coconut,Others,1425
285,2013-2014,Jute,Others,2300
286,2013-2014,Sugarcane ,Others,210
287,2011-2012,Paddy - Common,Kharif,1080
288,2011-2012,Paddy - Grade 'A',Kharif,1110
289,2011-2012,Jowar - Hybrid,Kharif,980
290,2011-2012,Jowar - Maldandi,Kharif,1000
291,2011-2012,Bajra,Kharif,980
292,2011-2012,Maize,Kharif,980
293,2011-2012,Ragi,Kharif,1050
294,2011-2012,Arhar(Tur),Kharif,3200
295,2011-2012,"Moong,",Kharif,3500
296,2011-2012,Urad,Kharif,3300
297,2011-2012,Cotton,Kharif,2800
298,2011-2012,Cotton H-4,Kharif,3300
299,2011-2012,Groundnut In Shell,Kharif,2700
300,2011-2012,Sunflower  Seed,Kharif,2800
301,2011-2012,Soyabeen - Black,Kharif,1650
302,2011-2012,Soyabeen - Yellow,Kharif,1690
303,2011-2012,Sesamum,Kharif,3400
304,2011-2012,Nigerseed,Kharif,2900
305,2011-2012,Wheat,Rabi,1285
306,2011-2012,Barley,Rabi,980
307,2011-2012,Gram,Rabi,2800
308,2011-2012,Masur (Lentil),Rabi,2800
309,2011-2012,Rapeseed/Mustard,Rabi,2500
310,2011-2012,Safflower,Rabi,2500
311,2011-2012,Toria,Rabi,2425
312,2011-2012,Copra - Milling,Others,4525
313,2011-2012,Copra - Ball,Others,4775
314,2011-2012,De-Husked Coconut,Others,1200
315,2011-2012,Jute,Others,1675
316,2011-2012,Sugarcane ,Others,145
317,2012-2013,Paddy - Common,Kharif,1250
318,2012-2013,Paddy - Grade 'A',Kharif,1280
319,2012-2013,Jowar - Hybrid,Kharif,1500
320,2012-2013,Jowar - Maldandi,Kharif,1520
321,2012-2013,Bajra,Kharif,1175
